cell_id,percentage,from,to
C384,0.5776721620403209,A,B
C385,0.33594473972921773,A,B
C386,0.3388369057738583,A,B
C387,0.6283111129160158,A,B
C388,0.3263350856470773,A,B
C389,0.30928255426157897,A,B
C39,0.3323803744033148,A,B
C390,0.3894965667987606,A,B
C391,0.3471033019468558,A,B
C392,0.32585738320047547,A,B
C393,0.25894899953029477,A,B
C394,0.3172664749572081,A,B
C395,0.3860794683272234,A,B
C396,0.35787374188192705,A,B
C397,0.32180784192674894,A,B
C398,0.3457013824793327,A,B
C399,0.8399647799099007,A,B
C4,0.332056961248168,A,B
C40,0.5957500663227041,A,B
C400,0.3211761188736013,A,B
C401,0.3166063794066192,A,B
C402,0.6551722241146413,A,B
C403,0.33588074189012607,A,B
C404,0.3385387506596126,A,B
C405,0.3306538846956368,A,B
C406,0.35128889242761663,A,B
C407,0.48414242663212087,A,B
C408,0.32764094359221363,A,B
C409,0.8263187158625762,A,B
C41,0.4424601832436833,A,B
C410,0.3396292798608572,A,B
C411,0.5894298706304311,A,B
C412,0.4203080082330453,A,B
C413,0.33603104534808487,A,B
C414,1.0,A,B
C415,0.5435463361327092,A,B
C416,0.5880845575666171,A,B
C417,0.6072967316333059,A,B
C418,0.34089452111714086,A,B
C419,0.32219606896424935,A,B
C42,0.3422664122863705,A,B
C420,0.25423125891018156,A,B
C421,0.5607596142300485,A,B
C422,0.3438209741524426,A,B
C423,0.41729539018935674,A,B
C424,0.3639599123859183,A,B
C425,0.3674770151812702,A,B
C426,0.605318335521965,A,B
C427,0.32299174487654553,A,B
C428,0.36508345236149914,A,B
C429,0.5910961661949828,A,B
C43,0.3235291135042553,A,B
C430,0.6120097156553359,A,B
C431,0.3497746798452415,A,B
C432,0.3533122971456713,A,B
C433,0.3694387600718102,A,B
C434,0.3338118379047943,A,B
C435,0.8979299654335715,A,B
C436,0.38894831998644325,A,B
C437,0.3558185747187791,A,B
C438,0.4204614391771727,A,B
C439,0.30105072084343665,A,B
C44,0.3530472691751576,A,B
C440,0.6618970654537136,A,B
C441,0.31877057137471626,A,B
C442,0.4183232075026303,A,B
C443,0.3389440096435923,A,B
C444,0.3529871919476258,A,B
C445,0.35421929912707906,A,B
C446,0.3645041936327252,A,B
C447,0.3382700138121432,A,B
C448,0.4225533033684387,A,B
C449,0.36432383467296986,A,B
C45,0.332742892031436,A,B
C450,0.3704481893645157,A,B
C451,0.2961704947363567,A,B
C452,0.34850802960109445,A,B
C453,0.46428760240893924,A,B
C454,0.34587685537419915,A,B
C455,0.3134398733587413,A,B
C456,0.3434666228391202,A,B
C457,0.35290606924454554,A,B
C458,0.3618857036244491,A,B
C459,0.38933166483451076,A,B
C46,0.28692904293277605,A,B
C460,0.3176314063330587,A,B
C461,0.5464409175392785,A,B
C462,0.353494038221877,A,B
C463,0.412451974460502,A,B
C464,0.34504357254496143,A,B
C465,0.3184267744257363,A,B
C466,0.2305918304920779,A,B
C467,0.32656504148836224,A,B
C468,0.4811090040841821,A,B
C469,0.3252933014981949,A,B
C47,0.6745862273068686,A,B
C470,0.492258777781268,A,B
C471,0.34803878910416114,A,B
C472,0.15075307575460092,A,B
C473,0.33236839786727,A,B
C474,0.4645509678042798,A,B
C475,0.32925524306780984,A,B
C476,0.3115615241224706,A,B
C477,0.6216996630131852,A,B
C478,0.33584777879309496,A,B
C479,0.330157955054329,A,B
C48,0.347603772908774,A,B
C480,0.5198861051854438,A,B
C481,0.4211370072826695,A,B
C482,0.8183429376912071,A,B
C483,0.4464580803772621,A,B
C484,0.7936412827715853,A,B
C485,0.2212584755748421,A,B
C486,0.33642226769868316,A,B
C487,0.7133958163703429,A,B
C488,0.4155443871003581,A,B
C489,0.31971609155719416,A,B
C49,0.7929914053981267,A,B
C490,0.3108547024969687,A,B
C491,0.3936237316820883,A,B
C492,0.639372341779056,A,B
C493,0.5869110062101607,A,B
C494,0.36393313477646494,A,B
C495,0.43874301416231204,A,B
C496,0.19282875824249235,A,B
C497,0.5281803856964417,A,B
C498,0.33171400345207847,A,B
C499,0.549220552528364,A,B
C5,0.321144875599111,A,B
C50,0.5929638000610612,A,B
C500,0.5086921511257252,A,B
C501,0.3199755581416634,A,B
C502,0.4409617707617516,A,B
C503,0.29915618148942424,A,B
C504,0.5903964033123413,A,B
C505,0.34798403352404933,A,B
C506,0.33600191223955206,A,B
C507,0.3292740302714314,A,B
C508,0.32877787228067745,A,B
C509,0.2787352189994139,A,B
C51,0.528948066468624,A,B
C510,0.5334308452163737,A,B
C511,0.35135508960440215,A,B
C512,0.499550443639832,A,B
C513,0.37323913649697155,A,B
C514,0.6138588842222366,A,B
C515,0.580525096382971,A,B
C516,0.6362373303344394,A,B
C517,0.5059061455191783,A,B
C518,0.3659934532113572,A,B
C519,0.5767285319400192,A,B
C52,0.3656306253186159,A,B
C520,0.34402451881638363,A,B
C521,0.47996189209194895,A,B
C522,0.37110767423104113,A,B
C523,0.33016978474146447,A,B
C524,0.3384386702267801,A,B
C525,0.19093803632116413,A,B
C526,0.36196117574755726,A,B
C527,0.31844201716311654,A,B
C528,0.33161930277585905,A,B
C529,0.35222140355838655,A,B
C53,0.3365598572253209,A,B
C530,0.32073191437802984,A,B
C531,0.30354479187577815,A,B
C532,0.3237431135654742,A,B
C533,0.503899810414625,A,B
C534,0.3537736436694356,A,B
C535,0.5361297909805066,A,B
C536,0.4430024954437935,A,B
C537,0.604543583129585,A,B
C538,0.33982235636505154,A,B
C539,0.34681111943913706,A,B
C54,0.3125570540791854,A,B
C540,0.6652335973173037,A,B
C541,0.6270413258918597,A,B
C542,0.348916336231508,A,B
C543,0.4003979447802189,A,B
C544,0.4556159273730923,A,B
C545,0.5083287299219523,A,B
C546,0.38621150784952707,A,B
C547,0.36049689001235796,A,B
C548,0.6623622387091926,A,B
C549,0.3355038117494646,A,B
C55,0.32372887374005865,A,B
C550,0.5218547759985182,A,B
C551,0.1742774513244697,A,B
C552,0.36697062034561456,A,B
C553,0.29570020395461627,A,B
C554,0.5963626562360057,A,B
C555,0.24951005602245166,A,B
C556,0.3117874617425074,A,B
C557,0.293538679581825,A,B
C558,0.3488791900178842,A,B
C559,0.31312783633748564,A,B
C56,0.3336899878131132,A,B
C560,0.5998737230728105,A,B
C561,0.4928591711749047,A,B
C562,0.3503100986941942,A,B
C563,0.35132012925040795,A,B
C564,0.3348037475660271,A,B
C565,0.2910789279317861,A,B
C566,0.3571544593827496,A,B
C567,0.5808157693893431,A,B
C568,0.3685200380076507,A,B
C569,0.8596893374203605,A,B
C57,0.34550789258922127,A,B
C570,0.6168663645550213,A,B
C571,0.42119036590364384,A,B
C58,0.3498848053473606,A,B
C59,0.284617446334071,A,B
C6,0.36356459756343323,A,B
C60,0.3674246648916896,A,B
C61,0.5688960173541264,A,B
C62,0.6945702243233973,A,B
C63,0.5549502049689428,A,B
C64,0.33130406400291834,A,B
C65,0.5346923468734835,A,B
C66,0.33836355715291366,A,B
C67,0.5865322683535411,A,B
C68,0.35782099744201906,A,B
C69,0.3012374709270062,A,B
C7,0.41691493114691885,A,B
C70,0.33121911002534354,A,B
C71,0.3583056048808836,A,B
C72,0.35168556185005856,A,B
C73,0.20548282194230474,A,B
C74,0.7667461622371369,A,B
C75,0.3509251804916198,A,B
C76,0.5598530282979841,A,B
C77,0.3847091802530925,A,B
C78,0.3237248827085719,A,B
C79,0.33558672248633503,A,B
C8,0.3770962810696273,A,B
C80,0.5390270255500105,A,B
C81,0.4974170527997629,A,B
C82,0.4422633112777979,A,B
C83,0.7279194523379601,A,B
C84,0.34498267211699574,A,B
C85,0.6159463970684553,A,B
C86,0.33056244058328466,A,B
C87,0.3712293385875439,A,B
C88,0.34962613133417003,A,B
C89,0.5736158760750312,A,B
C9,0.42911969768422276,A,B
C90,0.8833985568095245,A,B
C91,0.3339236210122782,A,B
C92,0.34259873412917063,A,B
C93,0.343962867326984,A,B
C94,0.35134463980456015,A,B
C95,0.568433412763414,A,B
C96,0.34904406585080316,A,B
C97,0.5209539640850406,A,B
C98,0.5374263355107703,A,B
C99,0.5975358878836033,A,B
